b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,1,6846,0.10446166992187500,3.258954423,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,2,1394,0.02127075195312500,5.554985154,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,3,387,0.00590515136718750,7.403810244,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,4,118,0.00180053710937500,9.117356951,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,5,42,0.00064086914062500,10.607682577,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,6,17,0.00025939941406250,11.912537159,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,7,7,0.00010681152343750,13.192645078,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,8,1,0.00001525878906250,16.000000000,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,9,0,0.00000000000000000,inf,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,1,31326,0.47799682617187500,1.064927056,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,2,6846,0.10446166992187500,3.258954423,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,3,1394,0.02127075195312500,5.554985154,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,4,387,0.00590515136718750,7.403810244,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,5,118,0.00180053710937500,9.117356951,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,6,42,0.00064086914062500,10.607682577,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,7,17,0.00025939941406250,11.912537159,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,8,7,0.00010681152343750,13.192645078,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,9,1,0.00001525878906250,16.000000000,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,insertion,10,0,0.00000000000000000,inf,1,1.612457275,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,0,31531,0.48112487792968750,1.055516695,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,1,6727,0.10264587402343750,3.284252457,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,2,1208,0.01843261718750000,5.761595261,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,3,277,0.00422668457031250,7.886257834,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,4,57,0.00086975097656250,10.167109986,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,7,458752,524288,cycle,3,post,5,15,0.00022888183593750,12.093109404,0,0.607559204,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
