dataset,x,load_percent,metric,source,minimum_bits,minimum_count,epoch,points,fit_min_bits,fit_max_bits,intercept,slope_blocks_per_bit,residual_blocks,r_squared,estimate_at_2^-96
control,8,105,post,epoch,6,32,6,10,6.590600776,18.678071905,2.198678643,0.743034090,0.100916021,0.999012456,73.529951267
control,8,105,post,epoch,6,32,7,8,6.651055776,16.988772745,2.581439511,0.684059254,0.133179003,0.997466193,68.251127904
control,8,105,insertion,full-window,6.000000000,32,,12,6.609341902,21.540568381,2.987917590,0.764971109,0.195484257,0.997327686,76.425144088
control,8,105,insertion,full-window,6.000000000,64,,11,6.609341902,19.548788888,2.739053201,0.787315658,0.079485242,0.999483081,78.321356348
control,8,105,insertion,full-window,6.000000000,256,,10,6.609341902,17.942008277,2.663689944,0.794453507,0.062828605,0.999617219,78.931226589
control,8,105,insertion,full-window,6.000000000,1024,,9,6.609341902,16.719229230,2.716605611,0.789178564,0.055276950,0.999643520,78.477747715
control,8,105,insertion,full-window,8.000000000,32,,10,9.246809372,21.540568381,3.083798791,0.759296983,0.215258770,0.995506779,75.976309136
control,8,105,insertion,full-window,8.000000000,64,,9,9.246809372,19.548788888,2.656209623,0.792584257,0.084800075,0.999161044,78.744298299
control,8,105,insertion,full-window,8.000000000,256,,8,9.246809372,17.942008277,2.487791506,0.806290803,0.046186955,0.999695252,79.891708575
control,8,105,insertion,full-window,8.000000000,1024,,7,9.246809372,16.719229230,2.548242298,0.801156295,0.043033739,0.999669303,79.459246648
control,8,105,insertion,full-window,10.000000000,32,,9,10.540616412,21.540568381,3.195950541,0.752886936,0.224927508,0.994097555,75.473096391
control,8,105,insertion,full-window,10.000000000,64,,8,10.540616412,19.548788888,2.635261128,0.793861163,0.091267534,0.998810034,78.845932791
control,8,105,insertion,full-window,10.000000000,256,,7,10.540616412,17.942008277,2.383453040,0.813027500,0.037993284,0.999742234,80.434093070
control,8,105,insertion,full-window,10.000000000,1024,,6,10.540616412,16.719229230,2.442191825,0.808377634,0.037562669,0.999677496,80.046444644
control,8,105,insertion,full-window,12.000000000,32,,7,13.096400547,21.540568381,3.672052389,0.726786926,0.237840302,0.989898570,73.443597271
control,8,105,insertion,full-window,12.000000000,64,,6,13.096400547,19.548788888,2.715387045,0.789212287,0.110176864,0.997225385,78.479766558
control,8,105,insertion,full-window,12.000000000,256,,5,13.096400547,17.942008277,2.128541310,0.828850416,0.017944722,0.999903396,81.698181263
control,8,105,insertion,full-window,12.000000000,1024,,4,13.096400547,16.719229230,2.129833122,0.828760223,0.021976359,0.999806816,81.690814567
control,8,105,insertion,epoch,6,32,0,10,6.653564179,18.912537159,3.198783385,0.723870529,0.071918459,0.999498447,72.690354194
control,8,105,insertion,epoch,6,32,1,9,6.642233243,17.624960569,3.136465792,0.736420702,0.056721015,0.999624651,73.832853187
control,8,105,insertion,epoch,6,32,2,10,6.520496014,18.508146904,3.121346784,0.764333848,0.148146490,0.997871769,76.497396206
control,8,105,insertion,epoch,6,32,3,11,6.565958247,17.696219252,1.812269000,0.898451979,0.216790680,0.996154693,88.063659003
control,8,105,insertion,epoch,6,32,4,11,6.655955545,18.192645078,1.613764087,0.900157646,0.314166108,0.991924517,88.028898112
control,8,105,insertion,epoch,6,32,5,10,6.600855615,18.415037499,2.737583247,0.791683398,0.169205202,0.997223719,78.739189438
control,8,105,insertion,epoch,6,32,6,10,6.590600776,18.678071905,3.198678643,0.743034090,0.100916021,0.999012456,74.529951267
control,8,105,insertion,epoch,6,32,7,8,6.651055776,16.988772745,3.581439511,0.684059254,0.133179003,0.997466193,69.251127904
primary,8,110,post,full-window,6.000000000,32,,12,6.546110475,19.955605881,1.652586645,0.813155284,0.053544539,0.999799509,79.715493885
primary,8,110,post,full-window,6.000000000,64,,11,6.546110475,18.912537159,1.707344875,0.807997342,0.030499787,0.999923890,79.275089703
primary,8,110,post,full-window,6.000000000,256,,9,6.546110475,16.500154113,1.697779246,0.808991715,0.032350868,0.999877899,79.360983910
primary,8,110,post,full-window,6.000000000,1024,,7,6.546110475,13.948791059,1.632195125,0.816054599,0.023487287,0.999901491,79.973436649
primary,8,110,post,full-window,8.000000000,32,,10,9.060306014,19.955605881,1.641565749,0.813854813,0.058892407,0.999663678,79.771627822
primary,8,110,post,full-window,8.000000000,64,,9,9.060306014,18.912537159,1.734916953,0.806239556,0.031762966,0.999882297,79.133914344
primary,8,110,post,full-window,8.000000000,256,,7,9.060306014,16.500154113,1.730824370,0.806645853,0.035073746,0.999780327,79.168826274
primary,8,110,post,full-window,8.000000000,1024,,5,9.060306014,13.948791059,1.584315160,0.820096036,0.022348103,0.999850169,80.313534644
primary,8,110,post,full-window,10.000000000,32,,9,10.261485468,19.955605881,1.658978868,0.812820184,0.062550452,0.999543535,79.689716537
primary,8,110,post,full-window,10.000000000,64,,8,10.261485468,18.912537159,1.788990004,0.802872629,0.027541145,0.999891641,78.864762420
primary,8,110,post,full-window,10.000000000,256,,6,10.261485468,16.500154113,1.819566975,0.800485401,0.028784769,0.999810614,78.666165478
primary,8,110,post,full-window,10.000000000,1024,,4,10.261485468,13.948791059,1.658966634,0.814222302,0.022027111,0.999805923,79.824307642
