b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,16,1457520,0.69499969482421875,0.524915751,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,17,1392152,0.66382980346679688,0.591114692,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,18,1326342,0.63244915008544922,0.660978605,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,19,1260358,0.60098552703857422,0.734597847,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,20,1194643,0.56965017318725586,0.811851874,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,21,1129811,0.53873586654663086,0.892349979,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,22,1065491,0.50806570053100586,0.976913024,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,23,1002120,0.47784805297851562,1.065376155,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,24,940630,0.44852733612060547,1.156732180,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,25,880387,0.41980123519897461,1.252221683,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,26,821789,0.39185953140258789,1.351591506,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,27,764494,0.36453914642333984,1.455854347,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,28,709887,0.33850049972534180,1.562770131,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,29,658072,0.31379318237304688,1.672114087,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,30,608526,0.29016780853271484,1.785040620,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,31,561364,0.26767921447753906,1.901422978,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,32,516932,0.24649238586425781,2.020385012,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,33,474877,0.22643899917602539,2.142805643,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,34,435804,0.20780754089355469,2.266680087,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,35,398952,0.19023513793945312,2.394144347,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,36,364252,0.17368888854980469,2.525422632,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,37,331817,0.15822267532348633,2.659971724,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,38,301747,0.14388418197631836,2.797020098,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,39,273561,0.13044404983520508,2.938496957,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,40,247643,0.11808538436889648,3.082097684,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,41,223863,0.10674619674682617,3.227743426,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,42,201785,0.09621858596801758,3.377540592,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,43,181589,0.08658838272094727,3.529682713,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,44,163493,0.07795953750610352,3.681130658,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,45,147103,0.07014417648315430,3.833532857,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,46,132013,0.06294870376586914,3.989679519,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,47,118075,0.05630254745483398,4.150655990,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,48,105444,0.05027961730957031,4.313882521,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,49,94078,0.04485988616943359,4.478430230,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,50,83834,0.03997516632080078,4.644752154,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,51,74700,0.03561973571777344,4.811179377,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,52,66380,0.03165245056152344,4.981538991,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,53,58938,0.02810382843017578,5.153089516,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,54,52144,0.02486419677734375,5.329786363,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,55,46022,0.02194499969482422,5.509963940,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,56,40514,0.01931858062744141,5.693867089,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,57,35736,0.01704025268554688,5.874909461,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,58,31417,0.01498079299926758,6.060742196,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,59,27616,0.01316833496093750,6.246783251,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,60,24110,0.01149654388427734,6.442655970,fixed,3
